rowid,gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
39,2018020562,/api/v1/game/2018020562/feed/live,R,20182019,2018-12-24T00:00:00Z,Final,7,Final,7,FALSE,6,15,14,6,league,13,Florida Panthers,/api/v1/teams/13,3,13,20,6,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020562/content
40,2018020575,/api/v1/game/2018020575/feed/live,R,20182019,2018-12-28T01:30:00Z,Final,7,Final,7,FALSE,2,17,16,3,league,30,Minnesota Wild,/api/v1/teams/30,5,14,20,6,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020575/content
41,2018020595,/api/v1/game/2018020595/feed/live,R,20182019,2018-12-30T02:00:00Z,Final,7,Final,7,FALSE,3,15,20,6,league,16,Chicago Blackhawks,/api/v1/teams/16,2,19,13,7,league,21,Colorado Avalanche,/api/v1/teams/21,5064,Pepsi Center,/api/v1/venues/5064,/api/v1/game/2018020595/content
42,2018020612,/api/v1/game/2018020612/feed/live,R,20182019,2019-01-01T18:00:00Z,Final,7,Final,7,FALSE,4,22,14,4,league,6,Boston Bruins,/api/v1/teams/6,2,15,21,6,league,16,Chicago Blackhawks,/api/v1/teams/16,NA,Notre Dame Stadium,/api/v1/venues/null,/api/v1/game/2018020612/content
43,2018020624,/api/v1/game/2018020624/feed/live,R,20182019,2019-01-04T00:30:00Z,Final,7,Final,7,FALSE,2,15,21,7,league,16,Chicago Blackhawks,/api/v1/teams/16,3,22,13,4,league,2,New York Islanders,/api/v1/teams/2,NA,NYCB Live/Nassau Coliseum,/api/v1/venues/null,/api/v1/game/2018020624/content
44,2018020650,/api/v1/game/2018020650/feed/live,R,20182019,2019-01-07T01:00:00Z,Final,7,Final,7,FALSE,5,16,21,7,league,16,Chicago Blackhawks,/api/v1/teams/16,3,23,13,6,league,5,Pittsburgh Penguins,/api/v1/teams/5,5034,PPG Paints Arena,/api/v1/venues/5034,/api/v1/game/2018020650/content
45,2018020655,/api/v1/game/2018020655/feed/live,R,20182019,2019-01-08T01:30:00Z,Final,7,Final,7,FALSE,4,27,13,4,league,20,Calgary Flames,/api/v1/teams/20,3,16,22,7,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020655/content
46,2018020668,/api/v1/game/2018020668/feed/live,R,20182019,2019-01-10T01:00:00Z,Final,7,Final,7,FALSE,4,27,15,3,league,18,Nashville Predators,/api/v1/teams/18,3,16,22,8,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020668/content
47,2018020694,/api/v1/game/2018020694/feed/live,R,20182019,2019-01-13T01:30:00Z,Final,7,Final,7,FALSE,4,28,16,4,league,54,Vegas Golden Knights,/api/v1/teams/54,3,16,22,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020694/content
48,2018020707,/api/v1/game/2018020707/feed/live,R,20182019,2019-01-15T00:00:00Z,Final,7,Final,7,FALSE,5,16,23,9,league,16,Chicago Blackhawks,/api/v1/teams/16,8,18,20,7,league,1,New Jersey Devils,/api/v1/teams/1,NA,Prudential Center,/api/v1/venues/null,/api/v1/game/2018020707/content
49,2018020728,/api/v1/game/2018020728/feed/live,R,20182019,2019-01-18T00:00:00Z,Final,7,Final,7,FALSE,3,16,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,4,20,20,7,league,3,New York Rangers,/api/v1/teams/3,5054,Madison Square Garden,/api/v1/venues/5054,/api/v1/game/2018020728/content
50,2018020751,/api/v1/game/2018020751/feed/live,R,20182019,2019-01-20T17:30:00Z,Final,7,Final,7,FALSE,5,27,16,5,league,15,Washington Capitals,/api/v1/teams/15,8,17,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020751/content
51,2018020762,/api/v1/game/2018020762/feed/live,R,20182019,2019-01-23T01:30:00Z,Final,7,Final,7,FALSE,2,29,15,5,league,2,New York Islanders,/api/v1/teams/2,3,18,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020762/content
52,2018020781,/api/v1/game/2018020781/feed/live,R,20182019,2019-02-02T00:00:00Z,Final,7,Final,7,FALSE,7,19,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,3,25,20,6,league,7,Buffalo Sabres,/api/v1/teams/7,5039,KeyBank Center,/api/v1/venues/5039,/api/v1/game/2018020781/content
53,2018020799,/api/v1/game/2018020799/feed/live,R,20182019,2019-02-03T01:00:00Z,Final,7,Final,7,FALSE,4,20,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,3,26,22,4,league,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2018020799/content
54,2018020820,/api/v1/game/2018020820/feed/live,R,20182019,2019-02-06T02:00:00Z,Final,7,Final,7,FALSE,6,21,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,2,23,25,5,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020820/content
55,2018020834,/api/v1/game/2018020834/feed/live,R,20182019,2019-02-08T01:30:00Z,Final,7,Final,7,FALSE,3,24,24,7,league,23,Vancouver Canucks,/api/v1/teams/23,4,22,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020834/content
56,2018020857,/api/v1/game/2018020857/feed/live,R,20182019,2019-02-10T20:00:00Z,Final,7,Final,7,FALSE,2,21,28,7,league,17,Detroit Red Wings,/api/v1/teams/17,5,23,24,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020857/content
57,2018020863,/api/v1/game/2018020863/feed/live,R,20182019,2019-02-13T00:00:00Z,Final,7,Final,7,FALSE,3,23,25,9,league,16,Chicago Blackhawks,/api/v1/teams/16,6,32,17,8,league,6,Boston Bruins,/api/v1/teams/6,5085,TD Garden,/api/v1/venues/5085,/api/v1/game/2018020863/content
58,2018020883,/api/v1/game/2018020883/feed/live,R,20182019,2019-02-15T01:30:00Z,Final,7,Final,7,FALSE,2,21,28,8,league,1,New Jersey Devils,/api/v1/teams/1,5,24,25,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020883/content
