gamePk,link,gameType,season,gameDate,status.abstractGameState,status.codedGameState,status.detailedState,status.statusCode,status.startTimeTBD,teams.away.score,teams.away.leagueRecord.wins,teams.away.leagueRecord.losses,teams.away.leagueRecord.ot,teams.away.leagueRecord.type,teams.away.team.id,teams.away.team.name,teams.away.team.link,teams.home.score,teams.home.leagueRecord.wins,teams.home.leagueRecord.losses,teams.home.leagueRecord.ot,teams.home.leagueRecord.type,teams.home.team.id,teams.home.team.name,teams.home.team.link,venue.id,venue.name,venue.link,content.link
2018020690,/api/v1/game/2018020690/feed/live,R,20182019,2019-01-13T00:00:00Z,Final,7,Final,7,FALSE,3,26,15,4,league,6,Boston Bruins,/api/v1/teams/6,2,28,14,2,league,10,Toronto Maple Leafs,/api/v1/teams/10,NA,Scotiabank Arena,/api/v1/venues/null,/api/v1/game/2018020690/content
2018020691,/api/v1/game/2018020691/feed/live,R,20182019,2019-01-13T00:00:00Z,Final,7,Final,7,FALSE,0,20,17,8,league,21,Colorado Avalanche,/api/v1/teams/21,3,24,17,5,league,8,Montréal Canadiens,/api/v1/teams/8,NA,Centre Bell,/api/v1/venues/null,/api/v1/game/2018020691/content
2018020692,/api/v1/game/2018020692/feed/live,R,20182019,2019-01-13T00:00:00Z,Final,7,Final,7,FALSE,2,26,15,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,1,27,12,5,league,15,Washington Capitals,/api/v1/teams/15,5094,Capital One Arena,/api/v1/venues/5094,/api/v1/game/2018020692/content
2018020693,/api/v1/game/2018020693/feed/live,R,20182019,2019-01-13T01:00:00Z,Final,7,Final,7,FALSE,5,17,23,7,league,17,Detroit Red Wings,/api/v1/teams/17,2,22,19,3,league,30,Minnesota Wild,/api/v1/teams/30,5098,Xcel Energy Center,/api/v1/venues/5098,/api/v1/game/2018020693/content
2018020694,/api/v1/game/2018020694/feed/live,R,20182019,2019-01-13T01:30:00Z,Final,7,Final,7,FALSE,4,28,16,4,league,54,Vegas Golden Knights,/api/v1/teams/54,3,16,22,9,league,16,Chicago Blackhawks,/api/v1/teams/16,5092,United Center,/api/v1/venues/5092,/api/v1/game/2018020694/content
2018020695,/api/v1/game/2018020695/feed/live,R,20182019,2019-01-13T02:00:00Z,Final,7,Final,7,FALSE,3,19,20,4,league,19,St. Louis Blues,/api/v1/teams/19,1,23,19,4,league,25,Dallas Stars,/api/v1/teams/25,5019,American Airlines Center,/api/v1/venues/5019,/api/v1/game/2018020695/content
2018020696,/api/v1/game/2018020696/feed/live,R,20182019,2019-01-13T03:00:00Z,Final,7,Final,7,FALSE,3,20,21,3,league,53,Arizona Coyotes,/api/v1/teams/53,2,21,21,3,league,22,Edmonton Oilers,/api/v1/teams/22,5100,Rogers Place,/api/v1/venues/5100,/api/v1/game/2018020696/content
2018020697,/api/v1/game/2018020697/feed/live,R,20182019,2019-01-13T03:00:00Z,Final,7,Final,7,FALSE,1,17,24,5,league,9,Ottawa Senators,/api/v1/teams/9,4,27,13,7,league,28,San Jose Sharks,/api/v1/teams/28,NA,SAP Center at San Jose,/api/v1/venues/null,/api/v1/game/2018020697/content
2018020698,/api/v1/game/2018020698/feed/live,R,20182019,2019-01-13T03:30:00Z,Final,7,Final,7,FALSE,2,25,14,6,league,5,Pittsburgh Penguins,/api/v1/teams/5,5,18,25,3,league,26,Los Angeles Kings,/api/v1/teams/26,NA,STAPLES Center,/api/v1/venues/null,/api/v1/game/2018020698/content
2018020699,/api/v1/game/2018020699/feed/live,R,20182019,2019-01-13T17:30:00Z,Final,7,Final,7,FALSE,3,27,16,4,league,18,Nashville Predators,/api/v1/teams/18,6,22,18,5,league,12,Carolina Hurricanes,/api/v1/teams/12,5066,PNC Arena,/api/v1/venues/5066,/api/v1/game/2018020699/content
2018020700,/api/v1/game/2018020700/feed/live,R,20182019,2019-01-13T23:00:00Z,Final,7,Final,7,FALSE,5,18,20,7,league,3,New York Rangers,/api/v1/teams/3,7,27,15,3,league,29,Columbus Blue Jackets,/api/v1/teams/29,5059,Nationwide Arena,/api/v1/venues/5059,/api/v1/game/2018020700/content
2018020701,/api/v1/game/2018020701/feed/live,R,20182019,2019-01-13T23:00:00Z,Final,7,Final,7,FALSE,3,19,18,9,league,24,Anaheim Ducks,/api/v1/teams/24,4,29,14,2,league,52,Winnipeg Jets,/api/v1/teams/52,5058,Bell MTS Place,/api/v1/venues/5058,/api/v1/game/2018020701/content
